Player,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Level
Danilo Gallinari,28.88888888888889,57.11111111111112,30.88888888888889,26.22222222222222,1685.0333333333333,926.4444444444443,283.1111111111111,657.5555555555555,42.7,116.11111111111111,299.55555555555554,38.11111111111112,244.11111111111111,275.44444444444446,89.37777777777778,37.333333333333336,246.0,283.3333333333333,116.0,67.66666666666667,39.44444444444444,16.666666666666668,92.88888888888889,1541.111111111111,2.555555555555556,0.0,106.22222222222224,Moyen
Danny Granger,31.0,25.33333333333333,15.333333333333334,10.0,511.3333333333333,184.33333333333331,63.66666666666666,168.0,35.5,25.0,74.0,29.76666666666667,32.0,37.333333333333336,77.39999999999999,18.0,56.0,74.0,20.33333333333333,24.666666666666668,9.0,8.0,45.0,330.0,0.0,0.0,-8.666666666666666,Faible
Danny Green,31.0,66.9090909090909,47.09090909090909,19.818181818181817,1741.0272727272727,592.7272727272727,209.3636363636364,499.45454545454544,41.88181818181818,132.9090909090909,333.6363636363636,39.77272727272727,41.09090909090909,50.81818181818182,81.43636363636364,39.63636363636363,193.54545454545453,233.1818181818182,107.54545454545456,68.0,71.45454545454545,53.09090909090909,120.9090909090909,1339.5454545454545,0.4545454545454545,0.0,291.3636363636364,Moyen
Dante Cunningham,29.0,72.85714285714286,33.142857142857146,39.71428571428572,1629.5571428571427,439.2857142857143,186.28571428571428,401.7142857142857,46.44285714285714,30.714285714285715,87.0,23.071428571428573,36.0,56.57142857142857,64.22857142857143,80.42857142857143,204.28571428571428,284.7142857142857,58.85714285714285,36.71428571428572,48.42857142857143,33.857142857142854,122.14285714285714,1079.571428571429,1.0,0.0,-107.57142857142856,Moyen
Dante Exum,22.33333333333333,40.833333333333336,20.33333333333333,20.5,757.5,231.5,84.83333333333333,208.66666666666663,42.23333333333333,27.83333333333333,91.16666666666669,28.46666666666667,34.0,44.5,71.01666666666667,15.166666666666666,58.333333333333336,73.5,85.83333333333333,51.333333333333336,16.833333333333332,7.333333333333333,71.5,469.6666666666667,0.1666666666666666,0.0,11.5,Moyen
Danuel House Jr.,27.0,37.142857142857146,19.571428571428573,17.571428571428573,823.0142857142857,287.2857142857143,98.14285714285714,226.7142857142857,37.271428571428565,50.42857142857143,139.14285714285714,29.942857142857143,40.57142857142857,53.285714285714285,65.22857142857143,20.0,97.28571428571428,117.28571428571428,43.85714285714285,27.857142857142858,21.428571428571427,13.285714285714286,60.285714285714285,570.1428571428571,0.2857142857142857,0.0,19.285714285714285,Moyen
Dario Saric,25.666666666666668,68.83333333333333,35.166666666666664,33.666666666666664,1628.3,757.0,270.6666666666667,611.6666666666666,44.7,92.83333333333331,258.0,36.083333333333336,122.83333333333331,146.66666666666666,84.05,98.5,283.6666666666667,382.1666666666667,128.83333333333334,104.66666666666669,40.0,14.333333333333334,142.33333333333334,1467.3333333333333,6.166666666666667,0.0,16.5,Moyen
Darius Bazley,21.5,57.0,22.5,34.5,1345.95,516.25,188.75,459.75,41.65,58.0,187.25,32.8,80.75,120.0,65.675,46.5,257.5,304.0,68.75,71.0,33.0,42.5,56.75,1140.0,4.75,0.0,-274.5,Moyen
Darius Days,23.0,4.0,0.0,4.0,25.0,15.0,5.0,12.0,41.7,3.0,10.0,30.0,2.0,2.0,100.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,2.0,27.0,0.0,0.0,1.0,Faible
Darius Garland,21.5,62.5,28.0,34.5,2122.775,1158.0,426.5,950.75,44.400000000000006,138.25,357.0,38.575,166.75,191.5,86.95,29.25,133.0,162.25,419.75,190.5,70.5,6.5,116.25,2022.75,13.5,0.25,70.5,Moyen
Darius Johnson-Odom,23.5,3.5,2.0,1.5,10.45,0.0,0.0,5.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,2.5,3.0,1.0,1.0,0.5,0.0,1.5,5.5,0.0,0.0,-5.5,
Darius Miller,26.666666666666668,45.16666666666666,18.83333333333333,26.33333333333333,893.15,266.1666666666667,90.83333333333331,216.66666666666663,38.03333333333333,57.333333333333336,149.66666666666666,31.65,27.166666666666668,32.333333333333336,74.35000000000001,8.5,66.0,74.5,61.16666666666666,28.5,20.5,11.0,87.16666666666667,513.3333333333334,0.0,0.0,2.0,Moyen
Darius Morris,23.0,37.66666666666666,17.666666666666668,20.0,431.56666666666666,128.0,49.333333333333336,130.0,37.8,14.333333333333334,45.66666666666666,29.73333333333333,15.0,24.0,58.23333333333334,12.666666666666666,24.0,36.66666666666666,56.0,31.0,14.333333333333334,0.6666666666666666,37.0,269.6666666666667,0.0,0.0,-47.66666666666666,Faible
Darko Milicic,28.0,1.0,0.0,1.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0,-3.0,
Darrell Arthur,27.5,52.5,25.0,27.5,902.3833333333332,331.3333333333333,136.16666666666666,317.3333333333333,43.53333333333333,26.83333333333333,74.83333333333333,34.583333333333336,32.166666666666664,40.833333333333336,77.3,47.833333333333336,113.83333333333331,161.66666666666666,49.66666666666666,44.16666666666666,31.83333333333333,29.666666666666668,123.33333333333331,740.3333333333334,0.6666666666666666,0.0,-25.166666666666668,Moyen
Darren Collison,28.75,62.0,31.625,30.375,1810.825,781.875,283.5,595.25,45.2625,64.25,160.0,34.9375,150.625,176.75,74.4625,27.625,133.0,160.625,302.875,109.125,75.875,9.25,113.75,1575.25,3.375,0.0,25.0,Moyen
Darrun Hilliard,24.0,30.33333333333333,14.666666666666666,15.666666666666666,286.40000000000003,98.33333333333331,34.666666666666664,92.0,34.43333333333333,10.333333333333334,34.0,21.366666666666664,18.666666666666668,25.0,77.73333333333333,2.333333333333333,26.0,28.33333333333333,23.666666666666668,17.0,7.333333333333333,1.0,24.666666666666668,176.0,0.0,0.0,7.333333333333333,Faible
Daryl Macon,23.5,6.0,4.0,2.0,51.95,16.0,5.5,15.0,35.15,3.0,6.5,47.75,2.0,3.5,28.55,1.0,5.0,6.0,4.0,4.0,0.5,0.0,4.5,27.0,0.0,0.0,-3.0,Faible
David Duke Jr.,22.5,22.5,10.0,12.5,284.55,94.5,37.5,93.0,41.150000000000006,5.0,24.5,16.3,14.5,19.0,75.8,20.5,27.5,48.0,19.0,13.5,12.0,4.0,33.5,215.0,1.0,0.0,-22.5,Faible
David Johnson,21.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,
David Lee,32.0,66.2,42.0,24.2,1695.9800000000002,821.4,340.2,641.8,53.48,0.0,1.6,0.0,141.0,185.2,74.03999999999999,146.2,360.2,506.4,143.8,111.2,39.8,28.4,154.8,1738.2,20.4,0.2,179.8,Moyen
David Nwaba,26.5,39.5,11.166666666666666,28.33333333333333,763.9,270.3333333333333,100.5,205.16666666666663,50.48333333333333,14.5,45.333333333333336,31.183333333333334,54.833333333333336,81.5,67.53333333333333,39.333333333333336,105.0,144.33333333333334,41.0,27.166666666666668,29.5,17.666666666666668,74.5,619.5,0.6666666666666666,0.0,-69.5,Moyen
David Roddy,22.0,70.0,44.0,26.0,1258.5,466.0,180.0,420.0,42.9,65.0,212.0,30.7,41.0,65.0,63.1,50.0,143.0,193.0,59.0,57.0,29.0,19.0,107.0,873.0,0.0,0.0,-61.0,Moyen
