,precision,recall,f1-score,support,Groupe
Ron Baker,0.0,0.0,0.0,0.0,Faible
Ron Harper Jr.,0.0,0.0,0.0,1.0,Faible
Rondae Hollis-Jefferson,0.0,0.0,0.0,2.0,Faible
Ronnie Brewer,0.0,0.0,0.0,1.0,Faible
Ronnie Price,0.0,0.0,0.0,1.0,Faible
Roy Hibbert,0.0,0.0,0.0,2.0,Faible
Royal Ivey,0.0,0.0,0.0,1.0,Faible
Royce O'Neale,0.0,0.0,0.0,3.0,Faible
Rudy Gay,0.0,0.0,0.0,3.0,Faible
Rudy Gobert,0.5,0.3333333333333333,0.4,3.0,Faible
Rui Hachimura,0.0,0.0,0.0,1.0,Faible
Russ Smith,0.0,0.0,0.0,2.0,Faible
Russell Westbrook,0.0,0.0,0.0,2.0,Faible
Ryan Anderson,0.0,0.0,0.0,5.0,Faible
Ryan Broekhoff,0.0,0.0,0.0,1.0,Faible
Ryan Hollins,0.0,0.0,0.0,1.0,Faible
Ryan Kelly,0.0,0.0,0.0,1.0,Faible
Saben Lee,0.0,0.0,0.0,1.0,Faible
Saddiq Bey,0.0,0.0,0.0,1.0,Faible
Salah Mejri,0.0,0.0,0.0,1.0,Faible
Sam Dekker,0.0,0.0,0.0,2.0,Faible
Sam Hauser,0.0,0.0,0.0,1.0,Faible
Sam Merrill,0.0,0.0,0.0,2.0,Faible
Sandro Mamukelashvili,0.0,0.0,0.0,1.0,Faible
Santi Aldama,0.0,0.0,0.0,1.0,Faible
Sasha Vujacic,0.0,0.0,0.0,1.0,Faible
Scottie Barnes,0.0,0.0,0.0,0.0,Faible
Scottie Lewis,0.0,0.0,0.0,1.0,Faible
Scotty Hopson,0.0,0.0,0.0,1.0,Faible
Sean Kilpatrick,0.0,0.0,0.0,2.0,Faible
Sean McDermott,0.0,0.0,0.0,1.0,Faible
Sebastian Telfair,0.0,0.0,0.0,1.0,Faible
Semi Ojeleye,0.0,0.0,0.0,1.0,Faible
Serge Ibaka,0.0,0.0,0.0,4.0,Faible
Sergio Rodriguez,0.0,0.0,0.0,1.0,Faible
Seth Curry,0.0,0.0,0.0,3.0,Faible
Shabazz Muhammad,0.0,0.0,0.0,1.0,Faible
Shabazz Napier,0.0,0.0,0.0,1.0,Faible
Shai Gilgeous-Alexander,0.0,0.0,0.0,1.0,Faible
Shake Milton,0.0,0.0,0.0,1.0,Faible
Shane Larkin,0.0,0.0,0.0,2.0,Faible
Shannon Brown,0.0,0.0,0.0,2.0,Faible
Shaquille Harrison,0.0,0.0,0.0,2.0,Faible
Sharife Cooper,0.0,0.0,0.0,1.0,Faible
Shaun Livingston,0.0,0.0,0.0,2.0,Faible
Shawn Marion,0.0,0.0,0.0,1.0,Faible
Shawne Williams,0.0,0.0,0.0,1.0,Faible
Shelvin Mack,0.0,0.0,0.0,2.0,Faible
Sindarius Thornwell,0.0,0.0,0.0,2.0,Faible
Skal Labissiere,0.0,0.0,0.0,3.0,Faible
Skylar Mays,0.0,0.0,0.0,1.0,Faible
Solomon Hill,0.0,0.0,0.0,2.0,Faible
Solomon Jones,0.0,0.0,0.0,1.0,Faible
Spencer Dinwiddie,0.0,0.0,0.0,2.0,Faible
Spencer Hawes,0.0,0.0,0.0,2.0,Faible
Stanley Johnson,0.0,0.0,0.0,2.0,Faible
Stanley Umude,0.0,0.0,0.0,1.0,Faible
Stephen Curry,1.0,1.0,1.0,2.0,Fort
Stephen Jackson,0.0,0.0,0.0,1.0,Faible
Sterling Brown,0.0,0.0,0.0,2.0,Faible
Steve Novak,0.0,0.0,0.0,2.0,Faible
Steven Adams,0.0,0.0,0.0,4.0,Faible
Svi Mykhailiuk,0.0,0.0,0.0,2.0,Faible
T.J. McConnell,0.0,0.0,0.0,5.0,Faible
T.J. Warren,0.0,0.0,0.0,1.0,Faible
Tacko Fall,0.0,0.0,0.0,3.0,Faible
Taj Gibson,0.5,1.0,0.6666666666666666,1.0,Faible
Tari Eason,0.0,0.0,0.0,1.0,Faible
Taurean Prince,0.0,0.0,0.0,3.0,Faible
Tayshaun Prince,0.0,0.0,0.0,2.0,Faible
Terance Mann,0.0,0.0,0.0,1.0,Faible
Terence Davis,0.0,0.0,0.0,1.0,Faible
Terrence Jones,0.0,0.0,0.0,1.0,Faible
Terrence Ross,0.0,0.0,0.0,1.0,Faible
Terry Rozier,0.0,0.0,0.0,4.0,Faible
Terry Taylor,0.0,0.0,0.0,2.0,Faible
Thaddeus Young,1.0,0.5,0.6666666666666666,2.0,Fort
Thanasis Antetokounmpo,0.0,0.0,0.0,4.0,Faible
Theo Maledon,0.0,0.0,0.0,1.0,Faible
Theo Pinson,0.0,0.0,0.0,2.0,Faible
Thomas Bryant,0.0,0.0,0.0,4.0,Faible
Thomas Robinson,0.0,0.0,0.0,1.0,Faible
Thomas Welsh,0.0,0.0,0.0,1.0,Faible
Thon Maker,0.0,0.0,0.0,1.0,Faible
Tiago Splitter,0.0,0.0,0.0,3.0,Faible
Tim Duncan,1.0,0.5,0.6666666666666666,2.0,Fort
Tim Frazier,0.0,0.0,0.0,3.0,Faible
Tim Hardaway Jr.,0.0,0.0,0.0,0.0,Faible
Tim Quarterman,0.0,0.0,0.0,2.0,Faible
Timofey Mozgov,0.0,0.0,0.0,3.0,Faible
Timothe Luwawu-Cabarrot,0.0,0.0,0.0,1.0,Faible
Tobias Harris,0.0,0.0,0.0,7.0,Faible
Tomas Satoransky,0.0,0.0,0.0,0.0,Faible
Toney Douglas,0.0,0.0,0.0,2.0,Faible
Tony Allen,0.0,0.0,0.0,1.0,Faible
Tony Bradley,0.0,0.0,0.0,1.0,Faible
Tony Parker,1.0,1.0,1.0,1.0,Fort
Tony Snell,0.0,0.0,0.0,4.0,Faible
Tony Wroten,0.0,0.0,0.0,2.0,Faible
Torrey Craig,0.0,0.0,0.0,1.0,Faible
Trae Young,1.0,1.0,1.0,1.0,Fort
Travis Wear,0.0,0.0,0.0,1.0,Faible
Tre Jones,0.0,0.0,0.0,2.0,Faible
Tremont Waters,0.0,0.0,0.0,1.0,Faible
Trendon Watford,0.0,0.0,0.0,1.0,Faible
Trent Forrest,0.0,0.0,0.0,2.0,Faible
Trevelin Queen,0.0,0.0,0.0,1.0,Faible
Treveon Graham,0.0,0.0,0.0,2.0,Faible
Trevon Duval,0.0,0.0,0.0,1.0,Faible
Trevor Ariza,0.0,0.0,0.0,4.0,Faible
Trevor Booker,0.0,0.0,0.0,1.0,Faible
Trevor Keels,0.0,0.0,0.0,1.0,Faible
Trey Burke,0.0,0.0,0.0,4.0,Faible
Trey Lyles,0.0,0.0,0.0,2.0,Faible
Trey Murphy III,0.0,0.0,0.0,1.0,Faible
Tristan Thompson,0.0,0.0,0.0,1.0,Faible
Troy Brown Jr.,0.0,0.0,0.0,2.0,Faible
Troy Daniels,0.0,0.0,0.0,1.0,Faible
Ty Jerome,0.0,0.0,0.0,3.0,Faible
Ty Lawson,0.0,0.0,0.0,1.0,Faible
Tyler Cook,0.0,0.0,0.0,2.0,Faible
Tyler Ennis,0.0,0.0,0.0,2.0,Faible
Tyler Hansbrough,0.0,0.0,0.0,1.0,Faible
Tyler Herro,0.0,0.0,0.0,2.0,Faible
Tyler Johnson,0.0,0.0,0.0,2.0,Faible
Tyler Lydon,0.0,0.0,0.0,1.0,Faible
Tyler Ulis,0.0,0.0,0.0,1.0,Faible
Tyler Zeller,0.0,0.0,0.0,3.0,Faible
Tyrell Terry,0.0,0.0,0.0,2.0,Faible
Tyrese Haliburton,0.0,0.0,0.0,2.0,Faible
Tyrese Maxey,0.0,0.0,0.0,2.0,Faible
Tyshawn Taylor,0.0,0.0,0.0,1.0,Faible
Tyson Chandler,0.0,0.0,0.0,3.0,Faible
Tyus Jones,0.0,0.0,0.0,4.0,Faible
Udonis Haslem,0.0,0.0,0.0,2.0,Faible
Vander Blue,0.0,0.0,0.0,1.0,Faible
Vernon Carey Jr.,0.0,0.0,0.0,1.0,Faible
Viacheslav Kravtsov,0.0,0.0,0.0,1.0,Faible
Victor Oladipo,0.0,0.0,0.0,2.0,Faible
Vince Carter,1.0,0.2,0.33333333333333337,5.0,Fort
Vincent Poirier,0.0,0.0,0.0,1.0,Faible
Vladimir Radmanovic,0.0,0.0,0.0,1.0,Faible
Vlatko Cancar,0.0,0.0,0.0,2.0,Faible
Wade Baldwin IV,0.0,0.0,0.0,1.0,Faible
Wayne Ellington,0.0,0.0,0.0,2.0,Faible
Wayne Selden,0.0,0.0,0.0,2.0,Faible
Wendell Carter Jr.,0.0,0.0,0.0,0.0,Faible
Wes Iwundu,0.0,0.0,0.0,2.0,Faible
Wesley Johnson,0.0,0.0,0.0,2.0,Faible
Wesley Matthews,0.0,0.0,0.0,6.0,Faible
Will Barton,0.0,0.0,0.0,1.0,Faible
Will Bynum,0.0,0.0,0.0,1.0,Faible
Will Cherry,0.0,0.0,0.0,1.0,Faible
Willie Cauley-Stein,0.0,0.0,0.0,3.0,Faible
Willie Green,0.0,0.0,0.0,1.0,Faible
Willie Reed,0.0,0.0,0.0,2.0,Faible
Willy Hernangomez,0.0,0.0,0.0,2.0,Faible
Wilson Chandler,0.0,0.0,0.0,1.0,Faible
Xavier Cooks,0.0,0.0,0.0,1.0,Faible
Xavier Henry,0.0,0.0,0.0,1.0,Faible
Xavier Moon,0.0,0.0,0.0,1.0,Faible
Xavier Rathan-Mayes,0.0,0.0,0.0,1.0,Faible
Xavier Silas,0.0,0.0,0.0,1.0,Faible
Xavier Sneed,0.0,0.0,0.0,2.0,Faible
Yuta Watanabe,0.0,0.0,0.0,2.0,Faible
Yves Pons,0.0,0.0,0.0,1.0,Faible
Zach LaVine,0.0,0.0,0.0,0.0,Faible
Zach Norvell Jr.,0.0,0.0,0.0,1.0,Faible
Zach Randolph,0.0,0.0,0.0,1.0,Faible
Zaza Pachulia,0.0,0.0,0.0,3.0,Faible
Zeke Nnaji,0.0,0.0,0.0,1.0,Faible
Zhaire Smith,0.0,0.0,0.0,1.0,Faible
Zhou Qi,0.0,0.0,0.0,1.0,Faible
Ziaire Williams,0.0,0.0,0.0,1.0,Faible
Zion Williamson,0.0,0.0,0.0,1.0,Faible
accuracy,0.09607498535442296,0.09607498535442296,0.09607498535442296,0.09607498535442296,Faible
macro avg,0.05835566308629532,0.062456006445320775,0.050753029003251626,1707.0,Faible
weighted avg,0.11530646093475619,0.09607498535442296,0.08826481076041709,1707.0,Faible
