,precision,recall,f1-score,support,Groupe
Cedi Osman,0.0,0.0,0.0,2.0,Faible
Chandler Hutchison,0.0,0.0,0.0,1.0,Faible
Chandler Parsons,0.16666666666666666,0.25,0.2,4.0,Faible
Channing Frye,0.3333333333333333,1.0,0.5,1.0,Faible
Charles Bassey,0.0,0.0,0.0,0.0,Faible
Charles Cooke,0.0,0.0,0.0,1.0,Faible
Charlie Brown Jr.,0.0,0.0,0.0,1.0,Faible
Charlie Villanueva,0.0,0.0,0.0,0.0,Faible
Chase Budinger,0.0,0.0,0.0,1.0,Faible
Chasson Randle,0.0,0.0,0.0,3.0,Faible
Chauncey Billups,0.0,0.0,0.0,1.0,Faible
Chaundee Brown Jr.,0.0,0.0,0.0,1.0,Faible
Cheick Diallo,0.0,0.0,0.0,2.0,Faible
Chimezie Metu,0.0,0.0,0.0,1.0,Faible
Chinanu Onuaku,0.0,0.0,0.0,1.0,Faible
Chris Andersen,0.0,0.0,0.0,1.0,Faible
Chris Bosh,0.3333333333333333,1.0,0.5,1.0,Faible
Chris Boucher,0.0,0.0,0.0,1.0,Faible
Chris Chiozza,0.0,0.0,0.0,1.0,Faible
Chris Copeland,0.0,0.0,0.0,1.0,Faible
Chris Douglas-Roberts,0.0,0.0,0.0,1.0,Faible
Chris Duarte,0.0,0.0,0.0,0.0,Faible
Chris Duhon,0.0,0.0,0.0,0.0,Faible
Chris Johnson,0.0,0.0,0.0,2.0,Faible
Chris Kaman,0.0,0.0,0.0,2.0,Faible
Chris McCullough,0.0,0.0,0.0,0.0,Faible
Chris Paul,0.6,1.0,0.7499999999999999,3.0,Moyen
Chris Quinn,0.0,0.0,0.0,0.0,Faible
Chris Silva,0.0,0.0,0.0,1.0,Faible
Chris Singleton,0.0,0.0,0.0,0.0,Faible
Chris Wright,0.0,0.0,0.0,1.0,Faible
Christian Braun,0.0,0.0,0.0,0.0,Faible
Christian Wood,0.0,0.0,0.0,1.0,Faible
Chuck Hayes,0.0,0.0,0.0,4.0,Faible
Chuma Okeke,0.0,0.0,0.0,0.0,Faible
