Player,PTS,Level
Greg Oden,67.0,Faible
Greg Smith,145.5,Faible
Greg Stiemsma,160.0,Faible
Greg Whittington,0.0,
Greivis Vasquez,550.6,Élevé
Guerschon Yabusele,86.5,Faible
Gustavo Ayon,158.0,Faible
Hakim Warrick,194.0,Faible
Hamady Ndiaye,6.0,
Hamed Haddadi,84.0,Faible
Hamidou Diallo,454.0,Moyen
Harrison Barnes,1072.3636363636365,Élevé
Harry Giles III,277.3333333333333,Moyen
Hasheem Thabeet,93.5,Faible
Hassan Whiteside,802.625,Élevé
Hassani Gravett,50.0,Faible
Haywood Highsmith,96.0,Faible
Hedo Turkoglu,126.33333333333331,Faible
Henry Ellenson,68.4,Faible
Henry Sims,257.75,Moyen
Henry Walker,175.0,Faible
Herbert Jones,695.5,Élevé
Hilton Armstrong,25.0,
Hollis Thompson,512.5,Élevé
Ian Clark,306.6666666666667,Moyen
Ian Mahinmi,320.0,Moyen
Ignas Brazdeikis,106.0,Faible
Ike Anigbogu,6.5,
Iman Shumpert,306.3333333333333,Moyen
Immanuel Quickley,940.6666666666666,Élevé
Isaac Bonga,109.75,Faible
Isaac Humphries,15.0,
Isaac Okoro,574.6666666666666,Élevé
Isaiah Briscoe,136.0,Faible
Isaiah Canaan,318.8333333333333,Moyen
Isaiah Hartenstein,273.0,Moyen
Isaiah Hicks,46.0,
Isaiah Jackson,376.0,Moyen
Isaiah Joe,347.3333333333333,Moyen
Isaiah Livers,233.5,Moyen
Isaiah Mobley,31.0,
Isaiah Roby,289.75,Moyen
Isaiah Stewart,564.3333333333334,Élevé
Isaiah Taylor,224.0,Moyen
Isaiah Thomas,896.6,Élevé
Isaiah Todd,14.5,
Isaiah Whitehead,321.5,Moyen
Ish Smith,490.9090909090909,Élevé
Ish Wainright,179.5,Faible
Ivan Johnson,452.0,Moyen
Ivan Rabb,242.5,Moyen
Ivica Zubac,545.5714285714286,Élevé
J.J. Barea,587.625,Élevé
J.P. Macura,3.0,
JD Davison,19.0,
JJ Hickson,647.5,Élevé
JJ O'Brien,0.0,
JJ Redick,1013.5555555555557,Élevé
JR Smith,677.875,Élevé
JT Thor,164.5,Faible
Ja Morant,1389.25,Élevé
JaKarr Sampson,205.5,Faible
JaMychal Green,467.55555555555554,Moyen
JaQuori McLaughlin,0.0,
JaVale McGee,396.1818181818182,Moyen
Jabari Bird,39.0,
Jabari Brown,227.0,Moyen
Jabari Parker,547.5,Élevé
Jabari Smith Jr.,1010.0,Élevé
Jabari Walker,216.0,Moyen
Jack Cooley,33.5,
Jack White,21.0,
Jacob Evans,84.0,Faible
Jacob Gilyard,3.0,
Jacob Pullen,2.0,
Jacob Wiley,4.0,
Jaden Hardy,420.0,Moyen
Jaden Ivey,1204.0,Élevé
Jaden McDaniels,675.6666666666666,Élevé
Jaden Springer,22.0,
Jae Crowder,652.7272727272727,Élevé
Jae'Sean Tate,665.3333333333334,Élevé
Jahlil Okafor,427.6666666666667,Moyen
Jahmi'us Ramsey,50.0,Faible
Jaime Echenique,0.0,
Jake LaRavia,105.0,Faible
Jake Layman,195.83333333333331,Faible
Jakob Poeltl,561.7142857142857,Élevé
Jalen Brunson,983.8,Élevé
Jalen Duren,612.0,Élevé
Jalen Green,1420.0,Élevé
Jalen Harris,96.0,Faible
Jalen Johnson,223.5,Moyen
Jalen Jones,77.5,Faible
