Player,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Tyler Johnson,44.25,22.625,21.625,1088.625,433.625,155.75,365.5,40.8375,54.75,152.125,36.35,67.375,86.5,68.9125,23.375,110.25,133.625,101.625,46.625,36.0,17.5,79.625,860.25,0.125,0.0,-20.25
Tyler Lydon,13.0,10.5,2.5,47.85,11.5,4.5,9.0,25.0,2.0,5.0,20.0,0.5,1.5,16.65,3.5,5.5,9.0,3.0,2.0,1.0,0.0,5.0,28.0,0.0,0.0,-8.5
Tyler Ulis,44.333333333333336,11.666666666666666,32.666666666666664,927.3333333333334,332.6666666666667,132.66666666666666,329.3333333333333,26.96666666666667,21.0,75.0,18.46666666666667,46.333333333333336,57.333333333333336,53.56666666666666,14.666666666666666,59.666666666666664,74.33333333333333,179.0,68.0,39.333333333333336,4.0,64.33333333333333,752.3333333333334,3.3333333333333335,0.0,-152.33333333333334
Tyler Zeller,51.75,24.0,27.75,906.6125000000001,359.125,145.125,285.5,47.975,1.25,4.375,4.4625,67.625,88.5,64.8125,79.625,147.875,227.5,45.875,43.5,13.0,30.125,112.125,787.0,1.875,0.0,-51.25
Tyreke Evans,57.42857142857143,26.142857142857142,31.285714285714285,1613.7571428571428,835.4285714285714,312.42857142857144,711.4285714285714,43.42857142857143,57.285714285714285,165.71428571428572,33.74285714285714,153.28571428571428,203.71428571428572,75.57142857142857,46.285714285714285,207.42857142857142,253.71428571428572,262.2857142857143,131.14285714285714,65.14285714285714,19.571428571428573,117.85714285714286,1656.4285714285713,6.142857142857143,0.2857142857142857,-47.142857142857146
Tyrell Terry,6.5,2.0,4.5,29.65,6.5,3.0,8.5,65.65,0.0,3.5,0.0,0.5,1.5,16.65,0.0,3.0,3.0,3.0,1.0,2.5,0.0,1.5,21.0,0.0,0.0,-1.0
Tyrese Haliburton,63.666666666666664,26.333333333333332,37.333333333333336,2107.5666666666666,1031.3333333333333,378.0,789.6666666666666,47.833333333333336,147.66666666666666,362.3333333333333,40.766666666666666,127.66666666666667,149.0,85.66666666666667,44.333333333333336,185.33333333333334,229.66666666666666,507.3333333333333,144.0,100.66666666666667,34.0,91.0,2328.0,20.666666666666668,0.0,-180.66666666666666
Tyrese Martin,16.0,10.0,6.0,65.5,21.0,9.0,23.0,39.1,1.0,7.0,14.3,2.0,2.0,100.0,5.0,7.0,12.0,2.0,2.0,1.0,0.0,2.0,39.0,0.0,0.0,1.0
Tyrese Maxey,65.33333333333333,41.666666666666664,23.666666666666668,1867.2666666666667,1005.6666666666666,373.3333333333333,779.0,47.6,107.66666666666667,260.3333333333333,38.733333333333334,151.33333333333334,176.33333333333334,86.06666666666666,20.0,153.33333333333334,173.33333333333334,217.66666666666666,69.66666666666667,43.333333333333336,17.666666666666668,122.33333333333333,1653.6666666666667,0.3333333333333333,0.0,127.0
Tyrone Wallace,28.0,14.5,13.5,428.55,141.5,55.75,132.0,38.425,4.25,20.5,19.45,25.75,39.25,53.875,11.0,48.0,59.0,31.75,23.5,14.5,5.5,48.0,296.5,0.0,0.0,-4.5
Tyrus Thomas,14.0,5.5,8.5,183.2,64.5,24.5,68.5,67.65,1.5,4.0,18.75,14.0,16.5,91.95,8.0,22.0,30.0,10.0,8.5,7.0,7.5,25.5,151.0,0.0,0.0,-44.5
Tyshawn Taylor,30.5,17.0,13.5,245.35,87.0,31.5,89.0,35.45,4.5,12.5,35.6,19.5,28.5,67.8,2.5,14.0,16.5,28.5,28.0,12.5,0.5,27.0,160.5,0.5,0.0,-99.0
